Sample,Roll,Pitch,Yaw
749,-0.337,-0.252,315.045
750,-0.363,-0.294,315.146
751,-0.363,-0.303,315.225
752,-0.397,-0.33,315.3
753,-0.407,-0.329,315.377
754,-0.433,-0.331,315.451
755,-0.45,-0.346,315.524
756,-0.428,-0.328,315.511
757,-0.404,-0.3,315.498
758,-0.391,-0.282,315.486
759,-0.367,-0.272,315.474
760,-0.347,-0.249,315.462
761,-0.348,-0.262,315.474
762,-0.322,-0.248,315.486
763,-0.315,-0.236,315.497
764,-0.308,-0.251,315.509
765,-0.294,-0.228,315.52
766,-0.285,-0.218,315.515
767,-0.25,-0.202,315.511
768,-0.244,-0.169,315.508
769,-0.2,-0.164,315.505
770,-0.189,-0.134,315.503
771,-0.186,-0.135,315.5
772,-0.199,-0.141,315.518
773,-0.22,-0.131,315.535
774,-0.205,-0.112,315.552
775,-0.201,-0.109,315.57
776,-0.204,-0.142,315.586
777,-0.2,-0.148,315.636
778,-0.199,-0.145,315.686
779,-0.235,-0.172,315.732
780,-0.223,-0.186,315.778
781,-0.214,-0.202,315.824
782,-0.184,-0.169,315.801
783,-0.168,-0.13,315.778
784,-0.151,-0.119,315.756
785,-0.153,-0.095,315.734
786,-0.119,-0.095,315.713
787,-0.124,-0.116,315.771
788,-0.136,-0.159,315.826
789,-0.154,-0.203,315.878
790,-0.184,-0.226,315.93
791,-0.227,-0.249,315.979
792,-0.233,-0.231,315.996
793,-0.227,-0.234,316.014
794,-0.225,-0.219,316.03
795,-0.208,-0.226,316.047
796,-0.19,-0.212,316.063
797,-0.196,-0.195,316.051
798,-0.193,-0.159,316.04
799,-0.183,-0.115,316.03
800,-0.178,-0.112,316.019
801,-0.156,-0.105,316.008
802,-0.156,-0.103,315.998
803,-0.153,-0.095,315.988
804,-0.132,-0.098,315.978
805,-0.125,-0.096,315.969
806,-0.112,-0.083,315.96
807,-0.109,-0.049,315.941
808,-0.098,-0.033,315.923
809,-0.095,-0.017,315.904
810,-0.096,0.003,315.887
811,-0.101,0.005,315.869
812,-0.109,-0.001,315.862
813,-0.075,-0.012,315.856
814,-0.067,0.006,315.85
815,-0.076,0.001,315.844
816,-0.072,0.005,315.838
817,-0.064,-0.006,315.844
818,-0.054,0.012,315.849
819,-0.077,-0.023,315.855
820,-0.076,-0.003,315.86
821,-0.087,0.007,315.865
822,-0.063,-0.001,315.86
823,-0.072,0.029,315.854
824,-0.063,0.042,315.848
825,-0.053,0.044,315.843
826,-0.057,0.04,315.837
827,-0.043,0.037,315.832
828,-0.027,0.007,315.846
829,0,0.004,315.86
830,0.002,-0.001,315.874
831,-0.01,-0.009,315.888
832,-0.012,0.009,315.901
833,-0.01,0.013,315.925
834,0,-0.029,315.947
835,-0.024,-0.041,315.97
836,-0.038,-0.08,315.991
837,-0.054,-0.055,316.012
838,-0.076,-0.086,316.038
839,-0.065,-0.108,316.063
840,-0.054,-0.107,316.088
841,-0.069,-0.111,316.114
842,-0.073,-0.118,316.138
843,-0.093,-0.118,316.187
844,-0.121,-0.152,316.233
845,-0.123,-0.146,316.28
846,-0.147,-0.173,316.323
847,-0.166,-0.18,316.367
848,-0.158,-0.146,316.337
849,-0.134,-0.149,316.308
850,-0.114,-0.133,316.279
851,-0.08,-0.11,316.251
852,-0.064,-0.106,316.223
853,-0.061,-0.086,316.196
854,-0.043,-0.066,316.17
855,-0.047,-0.041,316.144
856,-0.027,-0.033,316.118
857,-0.026,-0.01,316.092
858,-0.046,0.012,316.073
859,-0.043,0.019,316.055
860,-0.025,0.033,316.036
861,-0.03,0.037,316.019
862,-0.03,0.038,316.001
