Samples, Mx, My, Mz
521, 24.776, 10.640, 23.796
522, 24.482, 10.792, 23.494
523, 24.482, 10.792, 23.494
524, 24.482, 10.792, 23.494
525, 24.482, 10.792, 23.494
526, 24.482, 10.792, 23.494
527, 24.188, 8.360, 24.552
528, 24.188, 8.360, 24.552
529, 24.188, 8.360, 24.552
530, 24.188, 8.360, 24.552
531, 24.188, 8.360, 24.552
532, 23.159, 10.488, 26.063
533, 23.159, 10.488, 26.063
534, 23.159, 10.488, 26.063
535, 23.159, 10.488, 26.063
536, 23.159, 10.488, 26.063
537, 24.188, 8.664, 25.005
538, 24.188, 8.664, 25.005
539, 24.188, 8.664, 25.005
540, 24.188, 8.664, 25.005
541, 24.188, 8.664, 25.005
542, 26.099, 6.688, 24.401
543, 26.099, 6.688, 24.401
544, 26.099, 6.688, 24.401
545, 26.099, 6.688, 24.401
546, 26.099, 6.688, 24.401
547, 24.776, 4.408, 25.912
548, 24.776, 4.408, 25.912
549, 24.776, 4.408, 25.912
550, 24.776, 4.408, 25.912
551, 24.776, 4.408, 25.912
552, 26.246, 2.432, 26.063
553, 26.246, 2.432, 26.063
554, 26.246, 2.432, 26.063
555, 26.246, 2.432, 26.063
556, 26.246, 2.432, 26.063
557, 25.364, 2.280, 24.854
558, 25.364, 2.280, 24.854
559, 25.364, 2.280, 24.854
560, 25.364, 2.280, 24.854
561, 25.364, 2.280, 24.854
562, 26.981, 0.912, 26.667
563, 26.981, 0.912, 26.667
564, 26.981, 0.912, 26.667
565, 26.981, 0.912, 26.667
566, 26.981, 0.912, 26.667
567, 27.570, -1.823, 27.271
568, 27.570, -1.823, 27.271
569, 27.570, -1.823, 27.271
570, 27.570, -1.823, 27.271
571, 27.570, -1.823, 27.271
572, 28.452, -2.735, 25.307
573, 28.452, -2.735, 25.307
574, 28.452, -2.735, 25.307
575, 28.452, -2.735, 25.307
576, 28.452, -2.735, 25.307
577, 27.717, -2.735, 25.005
578, 27.717, -2.735, 25.005
579, 27.717, -2.735, 25.005
580, 27.717, -2.735, 25.005
581, 27.717, -2.735, 25.005
582, 26.981, -2.735, 24.552
583, 26.981, -2.735, 24.552
584, 26.981, -2.735, 24.552
585, 26.981, -2.735, 24.552
586, 26.981, -2.735, 24.552
587, 27.570, -3.647, 25.156
588, 27.570, -3.647, 25.156
589, 27.570, -3.647, 25.156
590, 27.570, -3.647, 25.156
591, 27.570, -3.647, 25.156
592, 28.746, -3.495, 25.609
593, 28.746, -3.495, 25.609
594, 28.746, -3.495, 25.609
595, 28.746, -3.495, 25.609
596, 28.746, -3.495, 25.609
597, 27.717, -5.319, 27.120
598, 27.717, -5.319, 27.120
599, 27.717, -5.319, 27.120
600, 27.717, -5.319, 27.120
601, 27.717, -5.319, 27.120
602, 27.570, -5.167, 25.156
603, 27.570, -5.167, 25.156
604, 27.570, -5.167, 25.156
605, 27.570, -5.167, 25.156
606, 27.570, -5.167, 25.156
607, 29.481, -6.079, 24.250
608, 29.481, -6.079, 24.250
609, 29.481, -6.079, 24.250
610, 29.481, -6.079, 24.250
611, 29.481, -6.079, 24.250
612, 28.452, -6.687, 26.667
613, 28.452, -6.687, 26.667
614, 28.452, -6.687, 26.667
615, 28.452, -6.687, 26.667
616, 28.452, -6.687, 26.667
617, 28.011, -6.687, 26.365
618, 28.011, -6.687, 26.365
619, 28.011, -6.687, 26.365
620, 28.011, -6.687, 26.365
621, 28.011, -6.687, 26.365
622, 28.893, -6.535, 25.912
623, 28.893, -6.535, 25.912
624, 28.893, -6.535, 25.912
625, 28.893, -6.535, 25.912
626, 28.893, -6.535, 25.912
627, 26.687, -7.143, 25.005
628, 26.687, -7.143, 25.005
629, 26.687, -7.143, 25.005
630, 26.687, -7.143, 25.005
631, 26.687, -7.143, 25.005
632, 28.452, -8.967, 26.365
633, 28.452, -8.967, 26.365
634, 28.452, -8.967, 26.365
635, 28.452, -8.967, 26.365
636, 28.452, -8.967, 26.365
637, 27.717, -8.207, 25.307
638, 27.717, -8.207, 25.307
639, 27.717, -8.207, 25.307
640, 27.717, -8.207, 25.307
641, 27.717, -8.207, 25.307
642, 29.628, -10.183, 25.156
643, 29.628, -10.183, 25.156
644, 29.628, -10.183, 25.156
645, 29.628, -10.183, 25.156
646, 29.628, -10.183, 25.156
647, 28.158, -9.575, 25.156
648, 28.158, -9.575, 25.156
649, 28.158, -9.575, 25.156
650, 28.158, -9.575, 25.156
651, 28.158, -9.575, 25.156
652, 28.158, -10.639, 26.516
653, 28.158, -10.639, 26.516
654, 28.158, -10.639, 26.516
655, 28.158, -10.639, 26.516
